,Year,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
519,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,7,President - Saint Francis Foundation,"$421,099","$54,719","$475,818"
520,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,8,Program Director - Pathology,"$400,493","$42,429","$442,922"
521,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,9,Senior Vice President - Planning,"$396,873","$47,591","$444,464"
522,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,10,Department Chairman - Emergency,"$370,250","$40,352","$410,602"
523,2010,SAINT MARY`S HOSPITAL,1,President & CEO,"$459,283","$139,851","$599,134"
524,2010,SAINT MARY`S HOSPITAL,2,Vice President & Chief Medical Officer,"$432,214","$42,948","$475,162"
525,2010,SAINT MARY`S HOSPITAL,3,Vice President and CFO,"$309,412","$53,943","$363,355"
526,2010,SAINT MARY`S HOSPITAL,4,Vice President Patient Services,"$254,187","$39,528","$293,715"
527,2010,SAINT MARY`S HOSPITAL,5,Vice President Operations,"$203,038","$38,078","$241,116"
528,2010,SAINT MARY`S HOSPITAL,6,Vice President Human Resources,"$205,771","$34,829","$240,600"
529,2010,SAINT MARY`S HOSPITAL,7,Vice President Surgical Services,"$178,287","$23,107","$201,394"
530,2010,SAINT MARY`S HOSPITAL,8,Chief Marketing Officer,"$167,498","$33,675","$201,173"
531,2010,SAINT MARY`S HOSPITAL,9,Chief Information Officer,"$180,227","$20,073","$200,300"
532,2010,SAINT MARY`S HOSPITAL,10,"Director, Operating Room","$147,141","$31,037","$178,178"
533,2010,SAINT VINCENT`S MEDICAL CENTER,1,CHIEF EXECUTIVE OFFICER,"$682,003","$803,487","$1,485,490"
534,2010,SAINT VINCENT`S MEDICAL CENTER,2,CHAIRPERSON MEDICINE,"$613,778","$158,101","$771,879"
535,2010,SAINT VINCENT`S MEDICAL CENTER,3,SR VP CHIEF CLINICAL/CHIEF MEDICAL OFFICER,"$509,737","$207,772","$717,509"
536,2010,SAINT VINCENT`S MEDICAL CENTER,4,SENIOR VICE PRESIDENT,"$334,277","$319,577","$653,854"
537,2010,SAINT VINCENT`S MEDICAL CENTER,5,CHAIRPERSON EMERGENCY CARE,"$494,913","$132,016","$626,929"
538,2010,SAINT VINCENT`S MEDICAL CENTER,6,CLINICAL VP SURGICAL SERVICES,"$445,040","$142,467","$587,507"
539,2010,SAINT VINCENT`S MEDICAL CENTER,7,VICE CHAIR EMERGENCY CARE,"$455,251","$72,427","$527,678"
540,2010,SAINT VINCENT`S MEDICAL CENTER,8,SENIOR VP/CHIEF FINANCIAL OFFICER,"$346,954","$180,135","$527,089"
541,2010,SAINT VINCENT`S MEDICAL CENTER,9,SR VP/CHIEF ADMINISTRATIVE OFFICER,"$271,116","$156,876","$427,992"
542,2010,SAINT VINCENT`S MEDICAL CENTER,10,CHAIRPERSON OBSTETRICS & GYNECOLOGY,"$312,507","$77,947","$390,454"
543,2010,STAMFORD HOSPITAL,1,President & CEO,"$919,612","$776,115","$1,695,727"
544,2010,STAMFORD HOSPITAL,2,Sr. VP of Medical Affairs,"$611,392","$300,176","$911,568"
545,2010,STAMFORD HOSPITAL,3,Chief of Surgery,"$618,391","$98,577","$716,968"
546,2010,STAMFORD HOSPITAL,4,Exec. VP and Chief Operating Officer,"$431,353","$155,611","$586,964"
547,2010,STAMFORD HOSPITAL,5,Sr. VP of Strategy & Marketing,"$379,619","$205,130","$584,749"
548,2010,STAMFORD HOSPITAL,6,Director of Cardiology,"$549,525","$28,436","$577,961"
549,2010,STAMFORD HOSPITAL,7,Chief Information Officer,"$294,141","$277,967","$572,108"
550,2010,STAMFORD HOSPITAL,8,Chief Financial Officer,"$459,865","$79,052","$538,917"
551,2010,STAMFORD HOSPITAL,9,VP AMbulatory Services,"$370,970","$166,927","$537,897"
552,2010,STAMFORD HOSPITAL,10,Sr. VP Patient Services,"$285,940","$237,198","$523,138"
553,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,1,CEO,"$586,240","$23,653","$609,893"
554,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,2,Executive Vice President and CMO,"$568,890","$34,596","$603,486"
555,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,3,Chief Emergency Room Physician,"$401,552","$97,499","$499,051"
556,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,4,Chief of Medicine,"$405,269","$68,964","$474,233"
557,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,5,Director of Cardiology,"$374,436","$84,856","$459,292"
558,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,6,Hospitalist,"$421,297","$29,518","$450,815"
559,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,7,Chief of Psychiatry,"$349,249","$90,833","$440,082"
560,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,8,Medical Director of Quality,"$347,800","$72,619","$420,419"
561,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,9,Oncologic Surgeon,"$346,731","$29,518","$376,249"
562,2010,THE HOSPITAL OF CENTRAL CONNECTICUT,10,Chief Financial Officer,"$283,098","$25,940","$309,038"
563,2010,WATERBURY HOSPITAL,1,President,"$505,774","$53,312","$559,086"
564,2010,WATERBURY HOSPITAL,2,VP Medical Affairs,"$347,256","$54,159","$401,415"
565,2010,WATERBURY HOSPITAL,3,COO,"$304,678","$45,122","$349,800"
566,2010,WATERBURY HOSPITAL,4,CFO,"$290,453","$51,806","$342,259"
567,2010,WATERBURY HOSPITAL,5,Medical Director Behavior Health,"$217,607","$36,103","$253,710"
568,2010,WATERBURY HOSPITAL,6,Psychiatrist,"$201,610","$41,354","$242,964"
569,2010,WATERBURY HOSPITAL,7,Chief Medical Information Officer: MD,"$202,232","$39,447","$241,679"
570,2010,WATERBURY HOSPITAL,8,Psychiatrist,"$196,423","$41,007","$237,430"
571,2010,WATERBURY HOSPITAL,9,Medical Director Behavior Health,"$204,535","$29,947","$234,482"
572,2010,WATERBURY HOSPITAL,10,VP Human Resources,"$188,100","$25,288","$213,388"
573,2010,WILLIAM W. BACKUS HOSPITAL,1,Former President & CEO,"$611,700","$54,418","$666,118"
574,2010,WILLIAM W. BACKUS HOSPITAL,2,President & CEO,"$446,500","$126,817","$573,317"
575,2010,WILLIAM W. BACKUS HOSPITAL,3,BPS Physician,"$474,055","$23,302","$497,357"
576,2010,WILLIAM W. BACKUS HOSPITAL,4,E.R. Physician,"$421,134","$49,983","$471,117"
577,2010,WILLIAM W. BACKUS HOSPITAL,5,Medical Director,"$364,231","$94,217","$458,448"
578,2010,WILLIAM W. BACKUS HOSPITAL,6,Sr. Vice President & CFO,"$339,999","$98,869","$438,868"
579,2010,WILLIAM W. BACKUS HOSPITAL,7,BPS Physician,"$356,754","$40,759","$397,513"
580,2010,WILLIAM W. BACKUS HOSPITAL,8,E.R. Physician,"$338,125","$44,327","$382,452"
581,2010,WILLIAM W. BACKUS HOSPITAL,9,E.R. Physician,"$334,632","$45,684","$380,316"
582,2010,WILLIAM W. BACKUS HOSPITAL,10,BPS Physician,"$334,248","$43,200","$377,448"
583,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,1,Cheif Executive Officer,"$426,833","$158,295","$585,128"
584,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,2,Physician/Hospitalist,"$274,372","$101,754","$376,126"
585,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,3,Cheif Financial Officer/VP Finance,"$249,048","$92,362","$341,410"
586,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,4,Medical Director,"$211,822","$78,556","$290,378"
587,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,5,VIce-President Patient Care,"$173,205","$64,235","$237,440"
588,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,6,Medical Director,"$161,964","$60,066","$222,030"
589,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,7,Physician/Hospitalist,"$161,765","$59,992","$221,757"
590,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,8,Vice-President Human Resources,"$145,232","$53,861","$199,093"
591,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,9,Registered Nurse,"$143,090","$53,066","$196,156"
592,2010,WINDHAM COMMUNITY MEMORIAL HOSPITAL,10,Registered Nurse,"$140,768","$52,205","$192,973"
593,2010,YALE-NEW HAVEN HOSPITAL,1,"SR VP, Chief of Staff(repr YNHH & YNHHS)","$2,593,138","$120,414","$2,713,552"
594,2010,YALE-NEW HAVEN HOSPITAL,2,President & CEO(repr YNHH & YNHHS),"$1,876,356","$671,343","$2,547,699"
595,2010,YALE-NEW HAVEN HOSPITAL,3,"Exec VP, COO(repr YNHH & YNHHS)","$1,191,678","$452,318","$1,643,996"
596,2010,YALE-NEW HAVEN HOSPITAL,4,"SR VP Finance, CFO(repr YNHH & YNHHS)","$957,784","$387,730","$1,345,514"
597,2010,YALE-NEW HAVEN HOSPITAL,5,Senior VP HR(repr YNHH & YNHHS),"$689,598","$264,748","$954,346"
598,2010,YALE-NEW HAVEN HOSPITAL,6,Senior VP Administration,"$672,802","$251,529","$924,331"
599,2010,YALE-NEW HAVEN HOSPITAL,7,"Senior VP, CIO(repr YNHH & YNHHS)","$662,434","$239,698","$902,132"
600,2010,YALE-NEW HAVEN HOSPITAL,8,VP of Legal Services,"$566,125","$214,247","$780,372"
601,2010,YALE-NEW HAVEN HOSPITAL,9,VP Finance,"$514,304","$212,455","$726,759"
602,2010,YALE-NEW HAVEN HOSPITAL,10,Senior VP Patient Services,"$619,542","$105,035","$724,577"
603,2011,BRIDGEPORT HOSPITAL,1,President & CEO,"$522,698","$242,081","$764,779"
604,2011,BRIDGEPORT HOSPITAL,2,Senior VP of Finance & CFO,"$489,002","$179,997","$668,999"
605,2011,BRIDGEPORT HOSPITAL,3,Medical Director,"$517,195","$53,109","$570,304"
606,2011,BRIDGEPORT HOSPITAL,4,Senior VP of Human Resources,"$361,186","$107,055","$468,241"
607,2011,BRIDGEPORT HOSPITAL,5,Senior VP & COO,"$382,574","$75,427","$458,001"
608,2011,BRIDGEPORT HOSPITAL,6,VP,"$317,717","$134,894","$452,611"
609,2011,BRIDGEPORT HOSPITAL,7,ER Physician,"$340,713","$62,271","$402,984"
610,2011,BRIDGEPORT HOSPITAL,8,Sr. VP of Quality Control & Risk Management,"$351,145","$46,074","$397,219"
611,2011,BRIDGEPORT HOSPITAL,9,ER Physician,"$331,534","$60,218","$391,752"
612,2011,BRIDGEPORT HOSPITAL,10,ER Physician,"$311,566","$54,055","$365,621"
613,2011,BRISTOL HOSPITAL,1,President & CEO,"$451,238","$44,061","$495,299"
614,2011,BRISTOL HOSPITAL,2,"Sr. Vice President, Chief Medical Officer","$355,580","$36,894","$392,474"
615,2011,BRISTOL HOSPITAL,3,"Sr. Vice President, Patient Care Services & CNO","$208,005","$29,196","$237,201"
616,2011,BRISTOL HOSPITAL,4,"Assistant Vice President, Information Services","$164,610","$32,539","$197,149"
617,2011,BRISTOL HOSPITAL,5,"Assistant V.P., Human Resources & Support Svcs","$168,961","$26,931","$195,892"
618,2011,BRISTOL HOSPITAL,6,Controller,"$167,895","$13,174","$181,069"
619,2011,BRISTOL HOSPITAL,7,Staff Psychiatrist,"$153,358","$20,801","$174,159"
620,2011,BRISTOL HOSPITAL,8,"Assistant Vice President, Chief Development Office","$147,672","$20,968","$168,640"
621,2011,BRISTOL HOSPITAL,9,"Director, Clinical Operations","$140,605","$27,593","$168,198"
622,2011,BRISTOL HOSPITAL,10,"Director, Diagnostic Imaging","$137,350","$30,756","$168,106"
623,2011,CHARLOTTE HUNGERFORD HOSPITAL,1,PHYSICIAN SURGEON,"$474,433","$145,174","$619,607"
624,2011,CHARLOTTE HUNGERFORD HOSPITAL,2,PATHOLOGIST MED DIRECTOR,"$406,403","$124,357","$530,760"
625,2011,CHARLOTTE HUNGERFORD HOSPITAL,3,CEO PRESIDENT,"$386,375","$118,228","$504,603"
626,2011,CHARLOTTE HUNGERFORD HOSPITAL,4,PHYSICIAN SURGEON,"$362,901","$111,046","$473,947"
627,2011,CHARLOTTE HUNGERFORD HOSPITAL,5,VP MEDICAL AFFAIRS,"$281,802","$86,230","$368,032"
628,2011,CHARLOTTE HUNGERFORD HOSPITAL,6,PHYSICIAN SURGEON,"$279,487","$85,521","$365,008"
629,2011,CHARLOTTE HUNGERFORD HOSPITAL,7,PSYCHIATRIST MED DIRECTOR,"$267,483","$81,848","$349,331"
630,2011,CHARLOTTE HUNGERFORD HOSPITAL,8,ORTHOPEDIC SURGEON,"$262,995","$80,475","$343,470"
631,2011,CHARLOTTE HUNGERFORD HOSPITAL,9,PHYSICIAN HOSPITALIST,"$221,561","$67,796","$289,357"
632,2011,CHARLOTTE HUNGERFORD HOSPITAL,10,PHYSICIAN SURGEON,"$214,050","$65,498","$279,548"
633,2011,CT CHILDREN`S MEDICAL CENTER,1,Physician In Chief,"$424,309","$44,036","$468,345"
634,2011,CT CHILDREN`S MEDICAL CENTER,2,Executive VP & CFO,"$377,936","$51,639","$429,575"
635,2011,CT CHILDREN`S MEDICAL CENTER,3,Chief Operating Officer,"$284,997","$51,214","$336,211"
636,2011,CT CHILDREN`S MEDICAL CENTER,4,President & CEO,"$274,710","$40,986","$315,696"
637,2011,CT CHILDREN`S MEDICAL CENTER,5,Senior VP & General Council,"$250,619","$49,044","$299,663"
638,2011,CT CHILDREN`S MEDICAL CENTER,6,Senior VP Quality Improvement & Patient Safety,"$237,619","$39,416","$277,035"
639,2011,CT CHILDREN`S MEDICAL CENTER,7,CIO,"$233,515","$33,108","$266,623"
640,2011,CT CHILDREN`S MEDICAL CENTER,8,VP Human Resources,"$190,102","$39,328","$229,430"
641,2011,CT CHILDREN`S MEDICAL CENTER,9,Professional Practice RN IV,"$184,409","$37,134","$221,543"
642,2011,CT CHILDREN`S MEDICAL CENTER,10,"Director, Perioperative Services","$153,768","$19,723","$173,491"
643,2011,DANBURY HOSPITAL,1,CEO CHIEF EXECUTIVE OFFICER,"$1,007,136","$67,942","$1,075,078"
644,2011,DANBURY HOSPITAL,2,VP HUMAN RESOURCES,"$442,305","$430,451","$872,756"
645,2011,DANBURY HOSPITAL,3,CHIEF INFORMATIONN OFFICER,"$524,044","$46,315","$570,359"
646,2011,DANBURY HOSPITAL,4,CFO CHIEF FINANCIAL OFFICER,"$506,062","$56,458","$562,520"
647,2011,DANBURY HOSPITAL,5,CHIEF OPERATING OFFICER,"$340,850","$59,037","$399,887"
648,2011,DANBURY HOSPITAL,6,CHIEF NURSING OFFICER,"$310,794","$57,626","$368,420"
649,2011,DANBURY HOSPITAL,7,VP MARKETING,"$274,067","$53,732","$327,799"
650,2011,DANBURY HOSPITAL,8,EXECUTIVE MEDICAL DIRECTOR,"$262,594","$57,154","$319,748"
651,2011,DANBURY HOSPITAL,9,DIRECTOR EDUCATION & RESEARCH,"$259,143","$57,122","$316,265"
652,2011,DANBURY HOSPITAL,10,VP FACILITIES,"$261,825","$52,448","$314,273"
653,2011,DAY KIMBALL HOSPITAL,1,President & CEO,"$370,325","$104,341","$474,666"
654,2011,DAY KIMBALL HOSPITAL,2,OB/GYN Physician,"$356,406","$51,049","$407,455"
655,2011,DAY KIMBALL HOSPITAL,3,Pulmonary Physician,"$300,526","$45,687","$346,213"
656,2011,DAY KIMBALL HOSPITAL,4,VP Medical Affairs,"$294,009","$45,062","$339,071"
657,2011,DAY KIMBALL HOSPITAL,5,Primary Care Physician,"$261,916","$41,983","$303,899"
658,2011,DAY KIMBALL HOSPITAL,6,Psychiatric Physician,"$242,231","$40,094","$282,325"
659,2011,DAY KIMBALL HOSPITAL,7,OB/GYN Physician,"$194,923","$35,554","$230,477"
660,2011,DAY KIMBALL HOSPITAL,8,Pediatrician,"$191,167","$35,194","$226,361"
661,2011,DAY KIMBALL HOSPITAL,9,Pediatrician,"$188,133","$34,902","$223,035"
662,2011,DAY KIMBALL HOSPITAL,10,Pediatrician,"$186,562","$34,752","$221,314"
663,2011,ESSENT-SHARON HOSPITAL,1,Chief Executive Officer,"$207,000","$52,785","$259,785"
664,2011,ESSENT-SHARON HOSPITAL,2,Chief Financial Officer,"$193,800","$49,419","$243,219"
665,2011,ESSENT-SHARON HOSPITAL,3,Chief Nursing Officer,"$132,609","$33,815","$166,424"
666,2011,ESSENT-SHARON HOSPITAL,4,Registered Nurse -,"$134,638","$34,333","$168,971"
667,2011,ESSENT-SHARON HOSPITAL,5,Associate Administrator/Director HR,"$131,832","$33,617","$165,449"
668,2011,ESSENT-SHARON HOSPITAL,6,Chief Quality Officer,"$123,429","$31,474","$154,903"
669,2011,ESSENT-SHARON HOSPITAL,7,Corp Compliance/Director HIM,"$112,070","$28,578","$140,648"
670,2011,ESSENT-SHARON HOSPITAL,8,Registered Nurse -,"$110,081","$28,071","$138,152"
671,2011,ESSENT-SHARON HOSPITAL,9,Director,"$105,536","$26,912","$132,448"
672,2011,ESSENT-SHARON HOSPITAL,10,Director Surgical Services,"$104,037","$26,529","$130,566"
673,2011,GREENWICH HOSPITAL,1,President & CEO,"$1,480,485","$232,009","$1,712,494"
674,2011,GREENWICH HOSPITAL,2,Executive VP & COO,"$666,818","$106,236","$773,054"
675,2011,GREENWICH HOSPITAL,3,Senior VP & CFO,"$504,454","$213,434","$717,888"
676,2011,GREENWICH HOSPITAL,4,Physician - Emergency Medicine,"$560,531","$40,202","$600,733"
677,2011,GREENWICH HOSPITAL,5,"Director, Pathology","$536,625","$51,479","$588,104"
678,2011,GREENWICH HOSPITAL,6,Pathologist,"$518,203","$47,830","$566,033"
679,2011,GREENWICH HOSPITAL,7,Pathologist,"$513,588","$49,345","$562,933"
680,2011,GREENWICH HOSPITAL,8,Pathologist,"$498,066","$57,017","$555,083"
681,2011,GREENWICH HOSPITAL,9,Pathologist,"$495,324","$53,458","$548,782"
682,2011,GREENWICH HOSPITAL,10,SVP- Health System Development,"$369,834","$140,173","$510,007"
683,2011,GRIFFIN HOSPITAL,1,CHIEF EXECUTIVE OFFICER,"$423,189","$66,569","$489,758"
684,2011,GRIFFIN HOSPITAL,2,"CHIEF, PSYCHIATRIC PHYSICIAN","$268,863","$22,369","$291,232"
685,2011,GRIFFIN HOSPITAL,3,CHIEF FINANCIAL OFFICER,"$247,836","$41,260","$289,096"
686,2011,GRIFFIN HOSPITAL,4,"DIRECTOR, PREVENTATIVE MEDICINE","$249,428","$28,265","$277,693"
687,2011,GRIFFIN HOSPITAL,5,"CHIEF, PULMONARY PHYSICIAN","$225,123","$47,152","$272,275"
688,2011,GRIFFIN HOSPITAL,6,PSYCHIATRIC PHYSICIAN,"$200,321","$68,847","$269,168"
689,2011,GRIFFIN HOSPITAL,7,CHIEF MEDICAL DIRECTOR,"$187,467","$68,090","$255,557"
690,2011,GRIFFIN HOSPITAL,8,VICE PRESIDENT ANCILLARY SERVICES,"$200,814","$32,281","$233,095"
691,2011,GRIFFIN HOSPITAL,9,VICE PRESIDENT COMMUNICATION,"$176,498","$48,475","$224,973"
692,2011,GRIFFIN HOSPITAL,10,"VICE PRESIDENT, NURSING","$169,341","$41,663","$211,004"
693,2011,HARTFORD HOSPITAL,1,President and CEO,"$1,468,870","$269,208","$1,738,078"
694,2011,HARTFORD HOSPITAL,2,Executive VP and COO,"$706,146","$64,391","$770,537"
695,2011,HARTFORD HOSPITAL,3,Director of Surgery,"$603,328","$105,180","$708,508"
696,2011,HARTFORD HOSPITAL,4,"VP, Psychiatry","$515,572","$189,497","$705,069"
697,2011,HARTFORD HOSPITAL,5,Director of Cardiology,"$521,932","$172,447","$694,379"
698,2011,HARTFORD HOSPITAL,6,Executive VP and CFO,"$627,162","$46,083","$673,245"
699,2011,HARTFORD HOSPITAL,7,"VP, Academic Affairs","$566,201","$93,834","$660,035"
700,2011,HARTFORD HOSPITAL,8,Chief Medical Officer,"$518,250","$97,610","$615,860"
701,2011,HARTFORD HOSPITAL,9,Director of Emergency Medicine & Trauma Services,"$567,224","$37,375","$604,599"
702,2011,HARTFORD HOSPITAL,10,Director of Women Health Services,"$526,502","$68,105","$594,607"
703,2011,HOSPITAL OF SAINT RAPHAEL,1,President,"$636,484","$407,076","$1,043,560"
704,2011,HOSPITAL OF SAINT RAPHAEL,2,Senior Vice President-COO & CFO,"$462,104","$272,007","$734,111"
705,2011,HOSPITAL OF SAINT RAPHAEL,3,Senior Vice President-CMO (MD),"$462,104","$243,316","$705,420"
706,2011,HOSPITAL OF SAINT RAPHAEL,4,Clinical Chair - Emergency Medicine (MD),"$390,222","$240,712","$630,934"
707,2011,HOSPITAL OF SAINT RAPHAEL,5,Clinical Chair - Medicine (MD),"$471,945","$123,250","$595,195"
708,2011,HOSPITAL OF SAINT RAPHAEL,6,Cardiologist (MD),"$507,680","$17,016","$524,696"
709,2011,HOSPITAL OF SAINT RAPHAEL,7,DIrector- Cardiology Fellowship/CDU (MD),"$495,807","$15,112","$510,919"
710,2011,HOSPITAL OF SAINT RAPHAEL,8,"Director, Surgical Intensive Care Unit (MD)","$350,892","$136,138","$487,030"
711,2011,HOSPITAL OF SAINT RAPHAEL,9,Section Chief-Thoracic Surgery (MD),"$429,032","$55,703","$484,735"
712,2011,HOSPITAL OF SAINT RAPHAEL,10,Associate Clinical Chair - Medicine (MD),"$365,475","$21,726","$387,201"
713,2011,JOHN DEMPSEY HOSPITAL,1,ASSISTANT PROFESSOR / CLINICAL / ER,"$242,417","$93,743","$336,160"
714,2011,JOHN DEMPSEY HOSPITAL,2,ASSISTANT PROFESSOR / CLINICAL / ER,"$202,635","$78,359","$280,994"
715,2011,JOHN DEMPSEY HOSPITAL,3,ASSISTANT PROFESSOR / CLINICAL / ER,"$201,663","$77,983","$279,646"
716,2011,JOHN DEMPSEY HOSPITAL,4,ASSISTANT PROFESSOR / CLINICAL / ER,"$185,122","$71,587","$256,709"
717,2011,JOHN DEMPSEY HOSPITAL,5,ASSISTANT PROFESSOR / CLINICAL / ER,"$184,681","$71,416","$256,097"
718,2011,JOHN DEMPSEY HOSPITAL,6,ASSOCIATE VP/QUALITY ASSURANCE,"$184,069","$71,179","$255,248"
719,2011,JOHN DEMPSEY HOSPITAL,7,ASSISTANT PROFESSOR / CLINICAL / ER,"$177,938","$68,809","$246,747"
720,2011,JOHN DEMPSEY HOSPITAL,8,MEDICAL PHYSICIST/CLINICAL/RADIOLOGY,"$175,945","$68,038","$243,983"
721,2011,JOHN DEMPSEY HOSPITAL,9,ASSOCIATE VP/QUALITY ASSURANCE,"$167,180","$64,648","$231,828"
722,2011,JOHN DEMPSEY HOSPITAL,10,ASSISTANT PROFESSOR / CLINICAL / ER,"$170,986","$53,040","$224,026"
723,2011,JOHNSON MEMORIAL HOSPITAL,1,President,"$348,926","$90,721","$439,647"
724,2011,JOHNSON MEMORIAL HOSPITAL,2,Vice President Medical Affairs,"$290,217","$75,456","$365,673"
725,2011,JOHNSON MEMORIAL HOSPITAL,3,Cheif Financial Officer,"$219,997","$57,199","$277,196"
726,2011,JOHNSON MEMORIAL HOSPITAL,4,Vice President - Patient Care Svcs.,"$150,222","$39,058","$189,280"
727,2011,JOHNSON MEMORIAL HOSPITAL,5,"Director, Perioperative Services","$123,500","$32,110","$155,610"
728,2011,JOHNSON MEMORIAL HOSPITAL,6,RN,"$121,820","$31,673","$153,493"
729,2011,JOHNSON MEMORIAL HOSPITAL,7,Corporate Director - Information Technology,"$121,500","$31,590","$153,090"
730,2011,JOHNSON MEMORIAL HOSPITAL,8,Corporate Director - Physical Therapy,"$119,297","$31,017","$150,314"
731,2011,JOHNSON MEMORIAL HOSPITAL,9,RN,"$117,394","$30,523","$147,917"
732,2011,JOHNSON MEMORIAL HOSPITAL,10,Corporate Director - Pharmacy,"$114,225","$29,700","$143,925"
733,2011,LAWRENCE AND MEMORIAL HOSPITAL,1,"President, CEO","$694,135","$49,075","$743,210"
734,2011,LAWRENCE AND MEMORIAL HOSPITAL,2,Chief Operating Officer,"$411,042","$37,600","$448,642"
735,2011,LAWRENCE AND MEMORIAL HOSPITAL,3,"Chair, Department of Surgery","$374,457","$18,170","$392,627"
736,2011,LAWRENCE AND MEMORIAL HOSPITAL,4,"Vice President, CFO","$367,933","$41,336","$409,269"
737,2011,LAWRENCE AND MEMORIAL HOSPITAL,5,Vice Pres. of Strategic Planning,"$290,640","$37,760","$328,400"
738,2011,LAWRENCE AND MEMORIAL HOSPITAL,6,Chief Legal Officer,"$270,694","$37,135","$307,829"
739,2011,LAWRENCE AND MEMORIAL HOSPITAL,7,"Vice President, Human Resources","$265,715","$37,558","$303,273"
740,2011,LAWRENCE AND MEMORIAL HOSPITAL,8,Chief Information Officer,"$233,115","$57,888","$291,003"
741,2011,LAWRENCE AND MEMORIAL HOSPITAL,9,"Vice President, Patient Care","$261,529","$25,867","$287,396"
742,2011,LAWRENCE AND MEMORIAL HOSPITAL,10,Medical Director Physician,"$253,824","$26,502","$280,326"
743,2011,MANCHESTER MEMORIAL HOSPITAL,1,CEO,"$707,555","$23,188","$730,743"
744,2011,MANCHESTER MEMORIAL HOSPITAL,2,CFO,"$397,509","$18,802","$416,311"
745,2011,MANCHESTER MEMORIAL HOSPITAL,3,Senior VP of Medical Affairs,"$346,274","$29,993","$376,267"
746,2011,MANCHESTER MEMORIAL HOSPITAL,4,Medical Director ED,"$282,373","$22,189","$304,562"
747,2011,MANCHESTER MEMORIAL HOSPITAL,5,Emergency Room MD,"$264,465","$15,964","$280,429"
748,2011,MANCHESTER MEMORIAL HOSPITAL,6,Emergency Room MD,"$252,777","$49,391","$302,168"
749,2011,MANCHESTER MEMORIAL HOSPITAL,7,Emergency Room MD,"$248,984","$25,234","$274,218"
750,2011,MANCHESTER MEMORIAL HOSPITAL,8,Emergency Room MD,"$242,306","$30,589","$272,895"
751,2011,MANCHESTER MEMORIAL HOSPITAL,9,Emergency Room MD,"$241,746","$25,312","$267,058"
752,2011,MANCHESTER MEMORIAL HOSPITAL,10,Emergency Room MD,"$235,503","$22,558","$258,061"
753,2011,MIDDLESEX HOSPITAL,1,President/CEO,"$510,682","$344,868","$855,550"
754,2011,MIDDLESEX HOSPITAL,2,"Vp, Clinical Affairs","$367,422","$160,170","$527,592"
755,2011,MIDDLESEX HOSPITAL,3,"Chairman, Emergency Medicine","$373,011","$85,350","$458,361"
756,2011,MIDDLESEX HOSPITAL,4,"VP, Finance/CFO/Treasurer","$315,246","$128,595","$443,841"
757,2011,MIDDLESEX HOSPITAL,5,"VP, Operations","$222,181","$215,095","$437,276"
758,2011,MIDDLESEX HOSPITAL,6,"Physician, Emergency Dept","$350,631","$62,202","$412,833"
759,2011,MIDDLESEX HOSPITAL,7,Clinical Director of Infectious Disease,"$339,402","$57,818","$397,220"
760,2011,MIDDLESEX HOSPITAL,8,"Chief, Dept of Medicine & Secretary","$332,878","$59,046","$391,924"
761,2011,MIDDLESEX HOSPITAL,9,Former President/CEO,$0,"$390,210","$390,210"
762,2011,MIDDLESEX HOSPITAL,10,"Medical Director, Emergency Dept","$325,651","$59,510","$385,161"
763,2011,MIDSTATE MEDICAL CENTER,1,Pres / CEO,"$662,160","$241,026","$903,186"
764,2011,MIDSTATE MEDICAL CENTER,2,CFO,"$367,199","$133,660","$500,859"
765,2011,MIDSTATE MEDICAL CENTER,3,Hospitalist Physician Director,"$295,074","$107,407","$402,481"
766,2011,MIDSTATE MEDICAL CENTER,4,Vice President,"$264,799","$96,387","$361,186"
767,2011,MIDSTATE MEDICAL CENTER,5,Physician,"$261,740","$95,273","$357,013"
768,2011,MIDSTATE MEDICAL CENTER,6,Physician,"$247,811","$90,203","$338,014"
769,2011,MIDSTATE MEDICAL CENTER,7,Physician,"$240,060","$87,382","$327,442"
770,2011,MIDSTATE MEDICAL CENTER,8,CMO,"$238,124","$86,677","$324,801"
