row,Hospital,year1,year2,year3,year4,
1168,Patient Days,"33,819","33,992","34,817","33,581",
1169,Discharges,"7,518","7,817","7,617","7,533",
1170,ALOS,4.5,4.3,4.6,4.5,
1171,Staffed Beds,94,96,97,95,
1172,Available Beds,180,180,180,180,
1173,Licensed Beds,180,180,180,180,
1174,Occupancy of staffed beds,98%,97%,98%,97%,
1175,Occupancy of available beds,52%,52%,53%,51%,
1177,47,Full Time Equivalent Employees,856.0,891.0,895.0,929.1
1179,KEY RESULTS - GRIFFIN HOSPITAL,,,,,
1181,DISCHARGES,2006,2007,2008,2009,
1182,Non-Government (Including Uninsured),"2,911","2,872","2,821","2,727",
1183,Medicare,"3,609","3,673","3,594","3,622",
1184,Medical Assistance,975,"1,248","1,179","1,178",
1185,Medicaid,868,"1,111","1,008","1,024",
1186,Other Medical Assistance,107,137,171,154,
1187,Champus / TRICARE,23,24,23,6,
1188,Uninsured (Included in Non-Government),200,109,85,89,
1189,Total Discharges,"7,518","7,817","7,617","7,533",
1190,CASE MIX INDEX,,,,,
1191,Non-Government (Including Uninsured),0.816,0.8663,0.9392,0.9543,
1192,Medicare,1.235,1.2744,1.3239,1.3376,
1193,Medical Assistance,0.62,0.6707,0.7483,0.8116,
1194,Medicaid,0.562,0.6416,0.7145,0.7686,
1195,Other Medical Assistance,1.0905,0.9068,0.9476,1.0979,
1196,Champus / TRICARE,0.379,0.6267,0.651,0.4723,
1197,Uninsured (Included in Non-Government),0.899,0.7879,0.9825,0.9744,
1198,Total Case Mix Index,0.9904,1.0261,1.0903,1.1159,
1199,UNCOMPENSATED CARE,,,,,
1200,Charity Care,"$1,523,536","$2,135,179","$1,748,198","$5,752,621",
1201,Bad Debts,"$6,886,625","$7,779,681","$8,005,302","$6,305,896",
1202,Total Uncompensated Care Charges,"$8,410,161","$9,914,860","$9,753,500","$12,058,517",
1203,Uncompensated Care Cost,"$2,935,445","$3,629,172","$3,467,095","$4,048,218",
1204,Uncompensated care % of total expenses,3.0%,3.2%,3.0%,3.4%,
1205,EMERGENCY DEPARTMENT VISITS,,,,,
1206,Emergency Room - Treated and Admitted,"5,075","5,274","5,413","5,426",
1207,Emergency Room - Treated and Discharged,"31,085","32,857","33,483","33,789",
1208,Total Emergency Room Visits,"36,160","38,131","38,896","39,215",
1210,48,,,,,
1212,HARTFORD HOSPITAL,,,,,
1214,"Hartford Hospital, founded in 1854, is located in Hartford.  In FY 2009, the Hospital generated",,,,,
1215,"$5.4 million in income from operations and experienced a $9.6 million non-operating loss,",,,,,
1216,"resulting in a deficiency of revenues over expenses of $4.2 million.  The Hospital reported 41,188",,,,,
1217,"discharges and 215,958 patient days while staffing 595 of its 752 available beds.  Reported below",,,,,
1218,"is a chart indicating all of the affiliates of Hartford Healthcare Corporation, the parent corporation",,,,,
1219,"of the Hospital, Midstate Medical Center and Windham Community Memorial Hospital, followed",,,,,
1220,by various financial indicators and selected utilization measures.,,,,,
1222,HARTFORD,,,,,
1223,HEALTH CARE,,,,,
1224,CORPORATION,,,,,
1226,Clinical Laboratory,MidState Medical,Hartford Hospital,H.H.M.O.B.,Windham,
1227,"Partners, LLC",Center,(Jefferson House),Corporation,Community,
1228,(Lab),,,(Real Estate),Memorial Hospital,
1229,"Rushford Center,",Meriden Imaging,,Immediate Medical,Windham Health,
1231,Inc.,"Center, Inc.",(Mental Health Facility),,,
1232,(Mental Health Facility),(Imaging Services),,(Other Health Care,(Other Health Care,
1235,Natchaug Hospital,"Midstate MSO, LLC","Clinical Systems,",Rehabilitation,Windham Hospital,
1236,(Mental Health Facility),,"Inc., LLC",Network,Foundation,
1238,VNA  Health,,,,Windham,
1239,"Care, Inc.",,CHS Insurance,,Professional Office,
1240,(Affiliate Support,,Limited,,,
1241,Services),,,,Condo Association,
1243,VNA Health,,,,,
1244,Resources,,,,,
1245,(Home Health VNAs),,,,,
1246,For Profit Entity,,,,,
1248,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
1250,Medicaid,Uninsured,10%,,,
1251,13%,Uninsured,,,,
1252,3%,,,,,
1254,Medical,Assistance,,,,
1255,Assistance,2%,,,,
1256,4%,,,,,
1261,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1262,Net Patient Revenue,"$588,180,331","$617,507,812","$639,563,211","$701,170,031",
1263,Other Operating Revenue,"$110,072,027","$124,479,380","$133,795,519","$128,370,350",
1264,Total Operating Revenue,"$698,252,358","$741,987,192","$773,358,730","$829,540,381",
1265,Total Operating Expenses,"$697,968,083","$745,010,396","$779,129,428","$824,177,868",
1266,Income/(Loss) from Operations,"$284,275","-$3,023,204","-$5,770,698","$5,362,513",
1267,Non Operating Revenue,"$10,943,138","$19,205,014","-$34,329,921","-$9,603,320",
1268,Excess/(Deficiency) of Revenue over Expenses,"$11,227,413","$16,181,810","-$40,100,619","-$4,240,807",
1269,49,*Source: Hospital Audited Financial Statements,,,,
1271,KEY RESULTS - HARTFORD HOSPITAL,,,,,
1273,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1274,Hospital Operating Margins,0.04%,-0.40%,-0.78%,0.65%,
1275,Hospital Non Operating Margins,1.54%,2.52%,-4.65%,-1.17%,
1276,Hospital Total Margins,1.58%,2.13%,-5.43%,-0.52%,
1277,COST DATA SUMMARY,,,,,
1278,Ratio of cost to charges,0.44,0.47,0.48,0.45,
1279,Private Payment to Cost Ratio,1.11,1.01,1.02,1.14,
1280,Medicare Payment to Cost Ratio,1.02,0.89,0.82,0.84,
1281,Medicaid Payment to Cost Ratio,0.76,0.70,0.76,0.72,
1282,LIQUIDITY MEASURES SUMMARY,,,,,
1283,Current Ratio,2.10,2.05,1.39,1.35,
1284,Days cash on hand,2,1,5,7,
1285,Days in patients accounts receivable,77,70,66,64,
1286,Average Payment Period,45,41,58,60,
1287,SOLVENCY MEASURES SUMMARY,,,,,
1288,Equity financing ratio,80.3,80.9,73.1,49.3,
1289,Cash flow to total debt ratio,37.2,43.0,-0.5,20.8,
1290,Long-term debt to Capitalization Ratio,5.6,4.9,6.6,10.2,
1291,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1292,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1293,NET ASSETS SUMMARY,,,,,
1294,Hospital Unrestricted Net Assets,"$463,994,022","$556,983,489","$393,127,114","$164,603,489",
1295,Hospital Total Net Assets,"$773,517,074","$884,570,192","$648,135,482","$403,988,398",
1296,UTILIZATION MEASURES SUMMARY,,,,,
1297,Patient Days,"214,465","211,887","212,013","215,958",
1298,Discharges,"39,269","39,621","39,840","41,188",
1299,ALOS,5.5,5.3,5.3,5.2,
1300,Staffed Beds,749,749,583,595,
1301,Available Beds,751,749,749,752,
1302,Licensed Beds,867,867,867,867,
1303,Occupancy of staffed beds,78%,78%,100%,99%,
1304,Occupancy of available beds,78%,78%,78%,79%,
1305,Full Time Equivalent Employees,"4,908.0","5,207.0","5,331.3","5,396.3",50
1307,KEY RESULTS - HARTFORD HOSPITAL,,,,,
1309,DISCHARGES,2006,2007,2008,2009,
1310,Non-Government (Including Uninsured),"16,502","16,407","16,218","16,639",
1311,Medicare,"15,192","15,219","15,288","15,533",
1312,Medical Assistance,"7,467","7,859","8,174","8,830",
1313,Medicaid,"5,863","5,940","6,256","6,942",
1314,Other Medical Assistance,"1,604","1,919","1,918","1,888",
1315,Champus / TRICARE,108,136,160,186,
1316,Uninsured (Included in Non-Government),587,500,664,694,
1317,Total Discharges,"39,269","39,621","39,840","41,188",
1318,CASE MIX INDEX,,,,,
1319,Non-Government (Including Uninsured),1.285,1.3179,1.3011,1.3378,
1320,Medicare,1.694,1.6559,1.6816,1.6591,
1321,Medical Assistance,1.0045,1.0315,1.0548,1.1079,
1322,Medicaid,0.9536,0.965,1.0204,1.0792,
1323,Other Medical Assistance,1.1906,1.2373,1.167,1.2134,
1324,Champus / TRICARE,1.4559,1.0937,1.3011,1.24,
1325,Uninsured (Included in Non-Government),1.2749,1.3768,1.3676,1.3109,
1326,Total Case Mix Index,1.3904,1.3902,1.3966,1.4092,
1327,UNCOMPENSATED CARE,,,,,
1328,Charity Care,"$20,112,897","$21,870,985","$22,281,604","$23,984,656",
1329,Bad Debts,"$23,638,544","$25,982,437","$30,682,007","$23,850,531",
1330,Total Uncompensated Care Charges,"$43,751,441","$47,853,422","$52,963,611","$47,835,187",
1331,Uncompensated Care Cost,"$19,451,086","$22,272,022","$25,355,190","$21,461,664",
1332,Uncompensated care % of total expenses,3.4%,3.1%,3.2%,2.6%,
1333,EMERGENCY DEPARTMENT VISITS,,,,,
1334,Emergency Room - Treated and Admitted,"14,654","15,141","15,872","16,393",
1335,Emergency Room - Treated and Discharged,"65,340","65,128","66,455","73,715",
1336,Total Emergency Room Visits,"79,994","80,269","82,327","90,108",
1338,51,,,,,
1340,HOSPITAL OF CENTRAL CONNECTICUT,,,,,
1342,The Hospital of Central Connecticut was established in 2007 with the merger of Bradley,,,,,
1343,Memorial Hospital located in Southington and New Britain General Hospital located in,,,,,
1344,"New Britain.  In FY 2009, the Hospital generated $11.4 million in income from operations",,,,,
1345,"and had a $3.3 million non-operating gain, resulting in an excess of revenues over ex-",,,,,
1346,"penses of $14.7 million.  The Hospital reported 20,067 discharges and 86,498 patient days",,,,,
1347,while staffing 349 of its 370 available beds.  Reported below is a chart indicating all of the,,,,,
1348,"affiliates of Central Connecticut Health Alliance, the parent corporation of the Hospital,",,,,,
1349,followed by various financial indicators and selected utilization measures.,,,,,
1351,CENTRAL,,,,,
1352,CONNECTICUT,,,,,
1353,HEALTH ALLIANCE,,,,,
1355,The Hospital of Central,VNA of Central,Central Connecticut,Community Mental Health,,
1357,Connecticut,(Affiliate Support Services),,Health,,
1358,(Acute Care),(Home Health Agency),,,,
1360,NB Occupational Health,Bradley Health,,Central CT Sports,,
1362,"Center, LLC d/b/a","Services, Inc.",The Jerome Home,"Medicine Center, LLC",,
1364,Alliance Occup. Health,,,O/P Rehabilitation,,
1366,Grand Indemnity,"MRI of Farmington Ave.,",Southington Care Center,,,
1367,"Company, LTD",LLC,(Long Term Care),,,
1370,(Long Term Care),,,,,
1372,The Orchards at,For Profit Entity,,,,
1373,Vein Center of Central,,,,,
1374,"CT, LLC",Southington,,,,
1375,(Assisted Living),,,,,
1377,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
1379,Medicaid,Uninsured,11%,,,
1380,14%,,,,Uninsured,
1383,Medical,,Assistance,,,
1384,Assistance,,1%,,,
1385,3%,Non-,,,,
1388,Medicare,,Medicare,,49%,
1389,46%,,38%,,,
1390,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1391,Net Patient Revenue,"$312,631,882","$329,476,747","$345,056,579","$367,733,027",
1392,Other Operating Revenue,"$14,517,310","$21,257,410","$13,628,865","$15,581,616",
1393,Total Operating Revenue,"$327,149,192","$350,734,157","$358,685,444","$383,314,643",
1394,Total Operating Expenses,"$318,710,782","$342,618,682","$353,800,187","$371,908,113",
1395,Income/(Loss) from Operations,"$8,438,410","$8,115,475","$4,885,257","$11,406,530",
1396,Non Operating Revenue,"$3,956,306","$5,175,703","$4,050,259","$3,326,810",
1397,Excess/(Deficiency) of Revenue over Expenses,,"$12,394,716","$13,291,178","$8,935,516","$14,733,340"
1398,*Source: Hospital Audited Financial Statements,,,,,
1400,Hospital  financial and statistical activity.),,,,,
1402,KEY RESULTS - HOSPITAL OF CENTRAL CONNECTICUT,,,,,
1404,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1405,Hospital Operating Margins,2.55%,2.28%,1.35%,2.95%,
1406,Hospital Non Operating Margins,1.19%,1.45%,1.12%,0.86%,
1407,Hospital Total Margins,3.74%,3.73%,2.46%,3.81%,
1408,COST DATA SUMMARY,,,,,
1409,Ratio of cost to charges,0.39,0.39,0.39,0.44,
1410,Private Payment to Cost Ratio,1.36,1.36,1.36,1.30,
1411,Medicare Payment to Cost Ratio,0.83,0.88,0.87,0.82,
1412,Medicaid Payment to Cost Ratio,0.85,0.80,0.79,0.75,
1413,LIQUIDITY MEASURES SUMMARY,,,,,
1414,Current Ratio,1.38,1.40,1.18,0.94,
1415,Days cash on hand,34,37,27,23,
1416,Days in patients accounts receivable,32,27,24,22,
1417,Average Payment Period,71,64,65,74,
1418,SOLVENCY MEASURES SUMMARY,,,,,
1419,Equity financing ratio,63.2,60.4,58.1,38.2,
1420,Cash flow to total debt ratio,26.3,29.4,25.9,29.7,
1421,Long-term debt to Capitalization Ratio,17.0,16.3,17.2,23.1,
1422,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1423,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1424,NET ASSETS SUMMARY,,,,,
1425,Hospital Unrestricted Net Assets,"$169,340,135","$167,045,319","$159,990,495","$87,443,879",
1426,Hospital Total Net Assets,"$208,418,262","$207,155,208","$195,004,939","$122,485,352",
1427,UTILIZATION MEASURES SUMMARY,,,,,
1428,Patient Days,"86,914","90,978","88,799","86,498",
1429,Discharges,"21,073","22,782","20,981","20,067",
1430,ALOS,4.1,4.0,4.2,4.3,
1431,Staffed Beds,367,331,310,349,
1432,Available Beds,344,344,344,370,
1433,Licensed Beds,446,446,446,446,
1434,Occupancy of staffed beds,65%,75%,78%,68%,
1435,Occupancy of available beds,73%,74%,71%,64%,
1436,Full Time Equivalent Employees,"2,118.0","2,213.6","2,256.7","2,224.2",
1438,53,Hospital  financial and statistical activity.),,,,
1440,KEY RESULTS - HOSPITAL OF CENTRAL CONNECTICUT,,,,,
1442,DISCHARGES,2006,2007,2008,2009,
1443,Non-Government (Including Uninsured),"7,760","8,254","7,193","6,963",
1444,Medicare,"9,528","9,982","9,670","9,221",
1445,Medical Assistance,"3,773","4,502","4,074","3,850",
1446,Medicaid,"3,251","3,842","3,466","3,283",
1447,Other Medical Assistance,522,660,608,567,
1448,Champus / TRICARE,12,44,44,33,
1449,Uninsured (Included in Non-Government),513,546,498,460,
1450,Total Discharges,"21,073","22,782","20,981","20,067",
1451,CASE MIX INDEX,,,,,
1452,Non-Government (Including Uninsured),0.9582,1.007,1.0466,1.0719,
1453,Medicare,1.2304,1.2367,1.3036,1.356,
1454,Medical Assistance,0.8893,0.8467,0.8971,0.9192,
1455,Medicaid,0.8502,0.815,0.8727,0.8904,
1456,Other Medical Assistance,1.1331,1.0309,1.0362,1.0858,
1457,Champus / TRICARE,0.5484,0.8944,0.7537,0.7962,
1458,Uninsured (Included in Non-Government),0.644,0.9192,0.9487,1.0395,
1459,Total Case Mix Index,1.0687,1.0757,1.1354,1.1727,
1460,UNCOMPENSATED CARE,,,,,
1461,Charity Care,"$1,016,396","$7,084,626","$7,362,350","$5,631,704",
1462,Bad Debts,"$14,599,754","$17,358,846","$17,614,632","$19,160,722",
1463,Total Uncompensated Care Charges,"$15,616,150","$24,443,472","$24,976,982","$24,792,426",
1464,Uncompensated Care Cost,"$6,164,382","$9,438,991","$9,641,415","$10,844,597",
1465,Uncompensated care % of total expenses,2.2%,3.1%,3.0%,2.9%,
1466,EMERGENCY DEPARTMENT VISITS,,,,,
1467,Emergency Room - Treated and Admitted,"13,454","15,442","15,253","15,137",
1468,Emergency Room - Treated and Discharged,"70,884","74,916","79,483","87,919",
1469,Total Emergency Room Visits,"84,338","90,358","94,736","103,056",
1471,(FY 2006 amounts are based on the sum of the former Bradley Memorial Hospital and New Britain General,,,,,
1472,Hospital  financial and statistical activity.),54,,,,
1474,CHARLOTTE HUNGERFORD HOSPITAL,,,,,
1476,"The Charlotte Hungerford Hospital, founded in 1916, is located in Torrington.  In FY 2009, the",,,,,
1477,"Hospital generated $850,000 in income from operations and experienced a $670,000 non-operating",,,,,
1478,"loss, resulting in an excess of revenues over expenses of $180,000.  The Hospital reported 6,320",,,,,
1479,"discharges and 28,581 patient days while staffing 81 of its 122 available beds.  Reported below is a",,,,,
1480,"chart indicating all of the affiliates of Charlotte Hungerford Hospital, followed by various financial",,,,,
1481,indicators and selected utilization measures.,,,,,
1483,CHARLOTTE,,,,,
1484,HUNGERFORD,,,,,
1485,HOSPITAL,,,,,
1487,Advanced Medical,Urology Center of NW,,Litchfield County,,
1488,Imaging of Northwest,"CT, LLC",Surgical Associates of,MedConn,Healthcare Services,
1490,"CT, LLC",(Outpatient Care),(Physician Services),(20%) For Profit,Corporation,
1491,(50%) For Profit,(50%) For Profit,,(Physician Services),,
1495,Medicaid,,9%,,,
1496,11%,,Medical,Uninsured,,
1498,Medical,3%,2%,,,
1499,Assistance,,,,,
1500,4%,,,Non-,,
1501,Non-,,,,,
1502,Government,,,,,
1503,Government,,,,,
1504,38%,,,,,
1505,35%,Medicare,,,,
1506,Medicare,,,,,
1507,47%,50%,,,,
1508,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1509,Net Patient Revenue,"$79,288,864","$85,871,764","$87,939,108","$95,678,590",
1510,Other Operating Revenue,"$5,293,879","$6,021,507","$5,802,825","$5,573,529",
1511,Total Operating Revenue,"$84,582,743","$91,893,271","$93,741,933","$101,252,119",
1512,Total Operating Expenses,"$86,670,695","$90,848,846","$93,504,863","$100,402,359",
1513,Income/(Loss) from Operations,"-$2,087,952","$1,044,425","$237,070","$849,760",
1514,Non Operating Revenue,"$3,093,634","$2,644,052","$827,321","-$669,899",
1515,Excess/(Deficiency) of Revenue over Expenses,"$1,005,682","$3,688,477","$1,064,391","$179,861",
1517,*Source: Hospital Audited Financial Statements,,,,,
1519,55,,,,,
1521,KEY RESULTS - CHARLOTTE HUNGERFORD HOSPITAL,,,,,
1523,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1524,Hospital Operating Margins,-2.38%,1.10%,0.25%,0.84%,
1525,Hospital Non Operating Margins,3.53%,2.80%,0.87%,-0.67%,
1526,Hospital Total Margins,1.15%,3.90%,1.13%,0.18%,
1527,COST DATA SUMMARY,,,,,
1528,Ratio of cost to charges,0.60,0.59,0.58,0.55,
1529,Private Payment to Cost Ratio,1.04,0.98,1.01,1.03,
1530,Medicare Payment to Cost Ratio,1.02,1.04,1.02,1.03,
1531,Medicaid Payment to Cost Ratio,0.54,0.65,0.66,0.72,
1532,LIQUIDITY MEASURES SUMMARY,,,,,
1533,Current Ratio,1.17,1.27,1.16,1.09,
1534,Days cash on hand,8,12,12,15,
1535,Days in patients accounts receivable,43,39,37,28,
1536,Average Payment Period,55,55,61,62,
1537,SOLVENCY MEASURES SUMMARY,,,,,
1538,Equity financing ratio,67.9,74.7,70.1,52.6,
1539,Cash flow to total debt ratio,28.3,42.0,29.7,27.0,
1540,Long-term debt to Capitalization Ratio,12.6,9.9,9.9,11.0,
1541,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1542,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1543,NET ASSETS SUMMARY,,,,,
1544,Hospital Unrestricted Net Assets,"$60,770,420","$70,551,748","$60,861,612","$41,545,959",
1545,Hospital Total Net Assets,"$81,012,860","$93,512,883","$80,798,341","$60,028,996",
1546,UTILIZATION MEASURES SUMMARY,,,,,
1547,Patient Days,"27,062","27,487","27,085","28,581",
1548,Discharges,"6,197","6,145","6,084","6,320",
1549,ALOS,4.4,4.5,4.5,4.5,
1550,Staffed Beds,101,82,78,81,
1551,Available Beds,122,122,122,122,
1552,Licensed Beds,122,122,122,122,
1553,Occupancy of staffed beds,73%,92%,95%,97%,
1554,Occupancy of available beds,61%,62%,61%,64%,
1555,Full Time Equivalent Employees,665.0,655.0,672.9,684.8,56
1559,DISCHARGES,2006,2007,2008,2009,
1560,Non-Government (Including Uninsured),"2,282","2,066","2,016","1,896",
1561,Medicare,"2,956","3,112","3,072","3,405",
1562,Medical Assistance,945,953,981,994,
1563,Medicaid,778,763,771,735,
1564,Other Medical Assistance,167,190,210,259,
1565,Champus / TRICARE,14,14,15,25,
1566,Uninsured (Included in Non-Government),295,187,165,123,
1567,Total Discharges,"6,197","6,145","6,084","6,320",
1569,Non-Government (Including Uninsured),0.9785,1.0152,1.0165,1.037,
1570,Medicare,1.396,1.4423,1.3977,1.4336,
1571,Medical Assistance,0.7278,0.7592,0.8449,0.8351,
1572,Medicaid,0.6863,0.7544,0.8142,0.7768,
1573,Other Medical Assistance,0.9211,0.7783,0.9578,1.0007,
1574,Champus / TRICARE,0.717,1.5545,1.0899,1.2313,
1575,Uninsured (Included in Non-Government),0.9352,0.8203,0.9691,0.8838,
1576,Total Case Mix Index,1.1388,1.193,1.1815,1.2197,
1578,Charity Care,"$738,613","$1,120,766","$1,110,508","$1,438,204",
1579,Bad Debts,"$1,900,641","$2,359,177","$2,441,497","$2,247,042",
1580,Total Uncompensated Care Charges,"$2,639,254","$3,479,943","$3,552,005","$3,685,246",
1581,Uncompensated Care Cost,"$1,583,287","$2,038,883","$2,056,204","$2,033,395",
1582,Uncompensated care % of total expenses,2.0%,2.2%,2.2%,2.0%,
1584,Emergency Room - Treated and Admitted,"3,759","4,021","4,015","4,476",
1585,Emergency Room - Treated and Discharged,"33,976","35,152","34,814","34,464",
1586,Total Emergency Room Visits,"37,735","39,173","38,829","38,940",
1588,57,,,,,
1590,JOHNSON MEMORIAL HOSPITAL,,,,,
1592,"Johnson Memorial Hospital, founded in 1912, is located in Stafford.  In FY 2009, the Hospital",,,,,
1593,"experienced a $4.8 million loss from operations and had a $606,000 non-operating loss, resulting",,,,,
1594,"in a deficiency of revenues over expenses of $5.4 million.  The Hospital reported 3,618",,,,,
1595,"discharges and 17,998 patient days while staffing 72 of its 95 available beds. Reported below is a",,,,,
1596,"chart indicating all of the affiliates of Johnson Memorial Corporation, the parent corporation of",,,,,
1597,"the Hospital, followed by various financial indicators and selected utilization measures.",,,,,
1599,Northeast Regional,,,,,
1600,Radiation Oncology,Johnson Medical,,,,
1601,Network,Specialists P.C.,,,,
1602,(Oncology Services),JOHNSON MEMORIAL,,,,
1603,CORPORATION,,,,,
1605,Tolland Imaging,Johnson Professional,,,,
1606,Center,"Associates, P.C.",,,,
1607,(O/B GYN & Mental Health),,,,,
1610,Johnson Health,"Development Fund,",Evergreen Corp. d/,Home & Community,"Wellcare, Inc.",
1611,Johnson Memorial,"Care, Inc.",b/a Evergreen,Health Services,(Relationship terminated,
1612,Hospital,Inc.,,,in August 2000 -,
1613,(Occupational Center),(Fund Raising/,Health Care Center,(Home Health/VNA),currently inactive),
1616,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
1617,Medicaid,,,,,
1618,8%,Uninsured,,Medicaid,,
1621,Medical,,0%,,,
1622,Assistance,1%,,,,
1624,2%,Non-,,,,
1627,Medicare,,35%,,Government,
1628,44%,,,,58%,
1629,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1630,Net Patient Revenue,"$58,940,339","$63,714,589","$71,034,672","$63,397,165",
1631,Other Operating Revenue,"$711,034","$798,161","$743,950","$951,983",
1632,Total Operating Revenue,"$59,651,373","$64,512,750","$71,778,622","$64,349,148",
1633,Total Operating Expenses,"$62,806,018","$77,430,267","$75,843,310","$69,149,506",
1634,Income/(Loss) from Operations,"-$3,154,645","-$12,917,517","-$4,064,688","-$4,800,358",
1635,Non Operating Revenue,"$563,833","$705,324","$1,722,723","-$605,745",
1636,Excess/(Deficiency) of Revenue over Expenses,"-$2,590,812","-$12,212,193","-$2,341,965","-$5,406,103",
1638,*Source: Hospital Audited Financial Statements,,,,,
1639,Note: Johnson Memorial Hospital financial statements were not audited in FY 2007 - FY 2009.,,,,,
1641,58,,,,,
1643,KEY RESULTS - JOHNSON MEMORIAL HOSPITAL,,,,,
1645,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1646,Hospital Operating Margins,-5.24%,-19.81%,-5.53%,-7.53%,
1647,Hospital Non Operating Margins,0.94%,1.08%,2.34%,-0.95%,
1648,Hospital Total Margins,-4.30%,-18.73%,-3.19%,-8.48%,
1649,COST DATA SUMMARY,,,,,
1650,Ratio of cost to charges,0.32,0.37,0.32,0.35,
1651,Private Payment to Cost Ratio,1.17,0.83,1.21,1.27,
1652,Medicare Payment to Cost Ratio,0.76,0.67,0.74,0.71,
1653,Medicaid Payment to Cost Ratio,0.94,0.62,0.67,0.69,
1654,LIQUIDITY MEASURES SUMMARY,,,,,
1655,Current Ratio,0.77,0.42,0.53,0.67,
1656,Days cash on hand,0,2,20,17,
1657,Days in patients accounts receivable,62,53,39,50,
1658,Average Payment Period,105,157,196,147,
1659,SOLVENCY MEASURES SUMMARY,,,,,
1660,Equity financing ratio,31.4,-2.7,7.3,-7.0,
1661,Cash flow to total debt ratio,-2.5,-20.1,0.9,-5.7,
1662,Long-term debt to Capitalization Ratio,43.5,108.9,76.2,128.5,
1663,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1664,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1665,NET ASSETS SUMMARY,,,,,
1666,Hospital Unrestricted Net Assets,"$12,195,310","-$6,411,244","$3,159,598","-$4,639,490",
1667,Hospital Total Net Assets,"$17,108,577","-$1,361,200","$4,230,542","-$3,564,128",
1668,UTILIZATION MEASURES SUMMARY,,,,,
1669,Patient Days,"23,531","24,905","21,656","17,998",
1670,Discharges,"4,225","4,433","4,087","3,618",
1671,ALOS,5.6,5.6,5.3,5.0,
1672,Staffed Beds,85,86,72,72,
1673,Available Beds,98,101,95,95,
1674,Licensed Beds,101,101,101,101,
1675,Occupancy of staffed beds,76%,79%,82%,68%,
1676,Occupancy of available beds,66%,67%,62%,52%,
1677,Full Time Equivalent Employees,505.0,509.4,552.6,469.2,
1678,59,,,,,
1679,(Note: Johnson Memorial Hospital financial statements were not audited in FY 2007 - FY 2009.),,,,,
1681,KEY RESULTS - JOHNSON MEMORIAL HOSPITAL,,,,,
1683,DISCHARGES,2006,2007,2008,2009,
1684,Non-Government (Including Uninsured),"1,381","1,420","1,378","1,333",
1685,Medicare,"2,253","2,322","2,026","1,807",
1686,Medical Assistance,568,676,660,456,
1687,Medicaid,502,617,605,404,
1688,Other Medical Assistance,66,59,55,52,
1689,Champus / TRICARE,23,15,23,22,
1690,Uninsured (Included in Non-Government),80,78,52,114,
1691,Total Discharges,"4,225","4,433","4,087","3,618",
1692,CASE MIX INDEX,,,,,
1693,Non-Government (Including Uninsured),0.8742,0.8821,1.0019,1.0234,
1694,Medicare,1.1577,1.1795,1.2578,1.2925,
1695,Medical Assistance,0.7286,0.7706,0.8408,0.9626,
1696,Medicaid,0.6662,0.7349,0.8408,0.9272,
1697,Other Medical Assistance,1.2028,1.1437,0.8408,1.2379,
1698,Champus / TRICARE,0.7334,0.7384,0.8516,1.1757,
1699,Uninsured (Included in Non-Government),0.8152,0.9343,0.9753,1.1298,
1700,Total Case Mix Index,1.0051,1.0204,1.1019,1.1511,
1701,UNCOMPENSATED CARE,,,,,
1702,Charity Care,"$105,499","$178,176","$287,523","$559,676",
1703,Bad Debts,"$4,491,178","$7,642,263","$8,586,666","$7,812,094",
1704,Total Uncompensated Care Charges,"$4,596,677","$7,820,439","$8,874,189","$8,371,770",
1705,Uncompensated Care Cost,"$1,473,703","$2,902,401","$2,835,685","$2,945,378",
1706,Uncompensated care % of total expenses,2.5%,3.7%,3.7%,4.3%,
1707,EMERGENCY DEPARTMENT VISITS,,,,,
1708,Emergency Room - Treated and Admitted,"3,250","3,273","2,978","3,027",
1709,Emergency Room - Treated and Discharged,"17,549","18,111","17,766","17,336",
1710,Total Emergency Room Visits,"20,799","21,384","20,744","20,363",
1712,60,,,,,
1713,(Note: Johnson Memorial Hospital financial statements were not audited in FY 2007 - FY 2009.),,,,,
1715,LAWRENCE & MEMORIAL HOSPITAL,,,,,
